Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 500),SKU,SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 500),Unit Price (@ Batch Size: 500),Unit Price (@ Batch Size: 500),Unit Price (@ Batch Size: 500),Unit Price (@ Batch Size: 500),In Stock,In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,URL,Distributor [Lowest Price (Selected)],SKU [Lowest Price (Selected)],Packaging [Lowest Price (Selected)],Unit Price (@ Batch Size: 500) [Lowest Price (Selected)],Line Total [Lowest Price (Selected)],Batch Total [Lowest Price (Selected)],In Stock [Lowest Price (Selected)],MOQ [Lowest Price (Selected)],URL [Lowest Price (Selected)],Notes
,,,,,,,,,Arrow,Digi-Key,Future Electronics,Mouser,Newark,Arrow,Digi-Key,Future Electronics,Mouser,Newark,Arrow,Digi-Key,Future Electronics,Mouser,Newark,Arrow,Digi-Key,Future Electronics,Mouser,Newark,Arrow,Digi-Key,Future Electronics,Mouser,Newark,Arrow,Digi-Key,Future Electronics,Mouser,Newark,,,,,,,,,,
1,"SMCJ30CAHE3,",,,,D19,1247-022-4019-00,"DI,TVS,30VR,48.4VC,1500W-10/1000US,SMC",500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"SMC3K75CAHM3,",,,,"D18, D24",1247-022-4018-00,"DI,TVS,75VR,121VC,3000W-10/1000US,SMC",1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"782853152,",WÅrth Elektronik,782853152,https://octopart.com/782853152-w%C3%BCrth+elektronik-56466774,L1,1247-032-4001-00,"FB,SMT,0805,1500-OHM-100MHZ,0.7A,350-MOH",500,,732-6714-1-ND,,782853152,,,Cut Tape,,,,,0.174,,0.07,,,3595,,5585,,,1,,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=05802ad&sid=459&ppid=56466774&vpid=191365818&ct=offers,,https://octopart.com/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DsBf%252fb4nBSle71ob9xQkw9A%253d%253d%26utm_source%3Doctopart%26utm_medium%3Daggregator%26utm_campaign%3D782853152%26utm_term%3D782853152%26utm_content%3DWurth+Electronics&country=US&ak=68b25f31&sig=0ad0fa3&sid=2401&ppid=56466774&ct=offers,,Mouser,782853152,,0.07,0.07,35,5585,1,https://octopart.com/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DsBf%252fb4nBSle71ob9xQkw9A%253d%253d%26utm_source%3Doctopart%26utm_medium%3Daggregator%26utm_campaign%3D782853152%26utm_term%3D782853152%26utm_content%3DWurth+Electronics&country=US&ak=68b25f31&sig=0ad0fa3&sid=2401&ppid=56466774&ct=offers,
1,"VLMV3100-GS08,",Vishay,VLMV3100-GS08,https://octopart.com/vlmv3100-gs08-vishay-42236514,LED1,1247-020-4001-00,"LED,SMT,VERT,RED/GRN,20/20MA,2V/2.2V,CLR",500,VLMV3100-GS08**MULT1,VLMV3100-GS08CT-ND,5490123,VLMV3100-GS08,05W7015,Cut Tape,Cut Tape,Tape & Reel,,Cut Tape,0.197,0.2277,,0.271,0.15,7500,21643,7500,4585,1684,1,1,1500,,1,https://octopart.com/click/track?url=https%3A%2F%2Fwww.arrow.com%2Fen%2Fproducts%2Fvlmv3100-gs08%2Fvishay&country=US&ak=68b25f31&sig=05dd9f9&sid=1106&ppid=42236514&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0babdfd&sid=459&ppid=42236514&vpid=159808023&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0993027&sid=2454&ppid=42236514&vpid=416974669&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=086158e&sid=2401&ppid=42236514&vpid=115233238&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0cbddf4&sid=2402&ppid=42236514&vpid=249351846&ct=offers,Newark,05W7015,Cut Tape,0.15,0.15,75,1684,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0cbddf4&sid=2402&ppid=42236514&vpid=249351846&ct=offers,
1,"SS16HE3_A/I,",Vishay,SS16HE3_A/I,https://octopart.com/ss16he3_a%2Fi-vishay-33978518,D28,1247-022-4009-00,"DI,SCTKY,1A,60V,SMA",500,,SS16HE3_A/IGICT-ND,,,09N7756,,Cut Tape,,,Tape & Reel,,0.15314,,,,,0,,,0,,1,,,7500,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=07e257c&sid=459&ppid=33978518&vpid=159780215&ct=offers,,,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=09bdb9e&sid=2402&ppid=33978518&vpid=249303882&ct=offers,Digi-Key,SS16HE3_A/IGICT-ND,Cut Tape,0.15314,0.15314,76.57,0,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=07e257c&sid=459&ppid=33978518&vpid=159780215&ct=offers,
2,"SQ2308CES-T1-GE3,",Vishay,SQ2308CES-T1_GE3,https://octopart.com/sq2308ces-t1_ge3-vishay-63675369,"Q2, Q5",1247-024-4001-00,"TRAN,N-CH,60V,2.3A,SOT23",1000,SQ2308CES-T1_GE3,SQ2308CES-T1_GE3CT-ND,5059841,SQ2308CES-T1_GE3,96Y9635,,Cut Tape,Tape & Reel,,Cut Tape,0.4577,0.23113,,0.205,0.205,24,13256,0,67725,1988,1,1,3000,,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0f24494&sid=1106&ppid=63675369&vpid=313338457&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=017e75e&sid=459&ppid=63675369&vpid=243010498&ct=offers,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=030eece&sid=2454&ppid=63675369&vpid=416969920&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0adb61b&sid=2401&ppid=63675369&vpid=224466218&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=06821e8&sid=2402&ppid=63675369&vpid=273919816&ct=offers,Newark,96Y9635,Cut Tape,0.205,0.41,205,1988,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=06821e8&sid=2402&ppid=63675369&vpid=273919816&ct=offers,
1,"SMCJ150CAHE3/57T,",Vishay Semiconductor,SMCJ150CAHE3/57T,https://octopart.com/smcj150cahe3%2F57t-vishay+semiconductor-43247378,D32,1247-022-4004-00,"DI,TVS,150VR,243VC,1500W-10/1000US,SMC",500,,SMCJ150CAHE3/57T-ND,,,,,Tape & Reel,,,,,,,,,,0,,,,,1700,,,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0856136&sid=459&ppid=43247378&vpid=159775574&ct=offers,,,,Digi-Key,SMCJ150CAHE3/57T-ND,Tape & Reel,,,,0,1700,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0856136&sid=459&ppid=43247378&vpid=159775574&ct=offers,
2,"SMBJ40CAHE3/52,",Vishay Semiconductor,SMBJ40CAHE3/52,https://octopart.com/smbj40cahe3%2F52-vishay+semiconductor-43886404,"D1, D4",1247-022-4001-00,"DI,TVS,40VR,64.5VC,600W-10/1000US,SMB",1000,SMBJ40CAHE3/52,SMBJ40CAHE3/52-ND,,SMBJ40CAHE3/52,,,Tape & Reel,,,,0.2641,,,,,3000,0,,3000,,750,3000,,10000,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0fbd0be&sid=1106&ppid=43886404&vpid=232431548&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0015854&sid=459&ppid=43886404&vpid=159772463&ct=offers,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0321dda&sid=2401&ppid=43886404&vpid=319022982&ct=offers,,Arrow,SMBJ40CAHE3/52,,0.2641,0.5282,264.1,3000,750,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0fbd0be&sid=1106&ppid=43886404&vpid=232431548&ct=offers,
1,"SMAJ5.0CAHE3/61,",Vishay Semiconductor,SMAJ5.0CAHE3/61,https://octopart.com/smaj5.0cahe3%2F61-vishay+semiconductor-43416983,D23,1247-022-4008-00,"DI,TVS,5VR,9.2VC,400W-10/1000US,SMA",500,,SMAJ5.0CAHE3/61-ND,,SMAJ5.0CAHE3/61,,,Tape & Reel,,,,,,,,,,0,,862,,,3600,,10000,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=04cbee5&sid=459&ppid=43416983&vpid=159767652&ct=offers,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=039b34e&sid=2401&ppid=43416983&vpid=263692429&ct=offers,,Digi-Key,SMAJ5.0CAHE3/61-ND,Tape & Reel,,,,0,3600,https://octopart.com/click/track?country=US&ak=68b25f31&sig=04cbee5&sid=459&ppid=43416983&vpid=159767652&ct=offers,
